ep,precision,recall,f1,auc
5,0.8201370733416757,0.5597002141327623,0.6639309247880283,0.7178754502553992
10,0.8373487436864484,0.5509635974304069,0.6640405116110167,0.7220921471840523
15,0.8973954237442046,0.5161241970021414,0.6545276478808902,0.7282310530945237
20,0.897465810537536,0.5192077087794433,0.6569879399690417,0.7295932947276309
25,0.913637715541856,0.512847965738758,0.656640463591619,0.732242356681417
30,0.8977309594486464,0.5198929336188437,0.658135186208517,0.7304638902518716
35,0.9207704458068566,0.5075374732334048,0.6542278347810665,0.732100310006354
40,0.9150648068084237,0.5122912205567451,0.6565513605684791,0.732449728546588
45,0.9341189313107864,0.5007280513918629,0.6517345171363863,0.7327505093284553
50,0.929943941175007,0.502933618843683,0.6525136381329807,0.732512215968832
55,0.9159412079205618,0.5110064239828693,0.6557212455314473,0.7321241201223744
60,0.9245683172345269,0.5095931477516059,0.6560092850180361,0.7333604598314524
65,0.9170299579246691,0.512847965738758,0.657336951189562,0.7331188086349545
70,0.9275703514037409,0.5088222698072805,0.6561933401523723,0.7340098677441894
75,0.9102161902670453,0.519421841541756,0.6604518351565498,0.7335440781098431
80,0.926592795744813,0.51,0.6568447817850722,0.7341657866948258
85,0.9325562642226503,0.5045610278372591,0.6545255053469137,0.7340017388394321
90,0.94107522555613,0.5006423982869379,0.6533341441471495,0.7346295412765207
95,0.9211684400299742,0.5137044967880086,0.6591129570902148,0.7347508756379324
100,0.9345260405591229,0.5068950749464668,0.6567888067650887,0.7354644329325787
105,0.9305215047350007,0.5086723768736617,0.6572842447368653,0.735170401742005
110,0.9351661906726207,0.5037687366167024,0.6542790736317897,0.7342391729546026
115,0.9119231574445437,0.5181156316916489,0.6601244213729095,0.7337991041245996
120,0.9278432066717153,0.5108351177730193,0.6580418098157297,0.7350479707133312
125,0.9518029485898488,0.49612419700214133,0.6514126304944053,0.7349575578463717
130,0.8960699323694884,0.5272376873661669,0.6637682746548899,0.7333759714549949
135,0.8980403444720482,0.5266595289079228,0.6636215974587191,0.7335515173578686
140,0.9112195060640399,0.5217773019271948,0.6627335492972882,0.7350808368136502
145,0.9328073657668816,0.5070877944325483,0.6569882993569669,0.7355079943651655
150,0.9064509165796412,0.5220770877944325,0.6621877597957737,0.7341430845519153
155,0.9080675422138836,0.5182012847965739,0.659850034083163,0.7332294702757948
160,0.912639405204461,0.525695931477516,0.6671195652173914,0.7380327598253472
165,0.9109461966604824,0.525695931477516,0.6666666666666666,0.7375047767208066
170,0.9079189686924494,0.5278372591006424,0.6675693974272173,0.7375194743232885
175,0.9149338374291115,0.5182012847965739,0.6616541353383458,0.7353414026939574
180,0.9282945736434108,0.512847965738758,0.6606896551724137,0.7368886080013749
185,0.93713163064833,0.5107066381156317,0.6611226611226612,0.738457859712515
190,0.9147727272727273,0.5171306209850107,0.6607387140902873,0.734806070788176
195,0.9252873563218391,0.5171306209850107,0.6634615384615384,0.7379739694154198
200,0.9390962671905697,0.5117773019271948,0.6625086625086625,0.7395211747228371
