percent,completeness,pruning_rate
0.0,0.0,1.0
0.010000000000000009,0.0,1.0
0.020000000000000018,0.0,1.0
0.030000000000000027,0.0,1.0
0.040000000000000036,0.0,1.0
0.050000000000000044,0.0,1.0
0.06000000000000005,0.0,1.0
0.06999999999999995,0.0,1.0
0.07999999999999996,0.0,1.0
0.08999999999999997,0.0,1.0
0.09999999999999998,0.0,1.0
0.10999999999999999,0.0,1.0
0.12,0.0,1.0
0.13,0.0,1.0
0.14,0.0,1.0
0.15000000000000002,0.0,1.0
0.16000000000000003,0.0,1.0
0.17000000000000004,0.0,1.0
0.18000000000000005,0.0,1.0
0.18999999999999995,0.0,1.0
0.19999999999999996,0.0,1.0
0.20999999999999996,0.0,1.0
0.21999999999999997,0.0,1.0
0.22999999999999998,0.0,1.0
0.24,0.0,1.0
0.25,0.00024186721489902045,0.9999999707457095
0.26,0.00024186721489902045,0.9999999707457095
0.27,0.00024186721489902045,0.9999999707457095
0.28,0.00024186721489902045,0.9999999707457095
0.29000000000000004,0.00024186721489902045,0.9999999707457095
0.30000000000000004,0.00024186721489902045,0.9999999707457095
0.31000000000000005,0.00024186721489902045,0.9999999707457095
0.31999999999999995,0.00024186721489902045,0.9999999707457095
0.32999999999999996,0.00024186721489902045,0.9999999707457095
0.33999999999999997,0.00024186721489902045,0.9999999707457095
0.35,0.00024186721489902045,0.9999999707457095
0.36,0.00024186721489902045,0.9999999707457095
0.37,0.0004837344297980409,0.9999999414914188
0.38,0.0008465352521465716,0.999999853728547
0.39,0.0008465352521465716,0.999999853728547
0.4,0.001088402467045592,0.999999795219966
0.41000000000000003,0.0012093360744951022,0.9999997659656753
0.42000000000000004,0.0014512032893941227,0.9999997367113848
0.43000000000000005,0.0015721368968436328,0.9999997074570942
0.43999999999999995,0.0018140041117426532,0.9999995904399319
0.44999999999999996,0.0019349377191921636,0.9999995319313507
0.45999999999999996,0.0024186721489902045,0.9999993564056072
0.47,0.004111742653283347,0.9999990346084109
0.48,0.004837344297980409,0.999998742065505
0.49,0.008344418914016206,0.9999978351824971
0.5,0.013181763211996614,0.9999963139593868
0.51,0.020679646873866246,0.9999936518189441
0.52,0.02745192889103882,0.9999902290669461
0.53,0.03736848470189866,0.9999848755317698
0.54,0.05006651348409723,0.9999752216158783
0.55,0.07086709396541299,0.9999609162677844
0.56,0.09952835893094691,0.9999380979211316
0.5700000000000001,0.13665497641794655,0.9999014130407436
0.5800000000000001,0.18043294231466925,0.9998465612459051
0.5900000000000001,0.23461119845204984,0.9997613142431535
0.6,0.2931430644576128,0.9996438290121821
0.61,0.36751723303906153,0.9994354799546675
0.62,0.4412867335832628,0.9991321714699286
0.63,0.5138468980529689,0.9986669989954077
0.64,0.5815697182246946,0.9979754568203746
0.65,0.650380940863466,0.996954979402054
0.6599999999999999,0.7112105454105696,0.9954361258894036
0.6699999999999999,0.7633329302213085,0.9932976665022576
0.6799999999999999,0.8072318297254807,0.9902257319569775
0.69,0.8522191316966985,0.9859149659684837
0.7,0.8875317450719555,0.9802336072120017
0.71,0.9144999395331963,0.9720948587924648
0.72,0.9361470552666586,0.9616759139479192
0.73,0.9510218889829484,0.9478860264540698
0.74,0.9655339218768896,0.9303190297404969
0.75,0.9731527391462087,0.9101270162788425
0.76,0.9812552908453259,0.8811532158364006
0.77,0.9860926351433064,0.8477518955317582
0.78,0.9904462450114887,0.808704204602168
0.79,0.9929858507679284,0.7629298406050724
0.8,0.9941951868424235,0.7145397919785905
0.81,0.9960091909541662,0.6531413257225371
0.8200000000000001,0.9974603942435603,0.5904436764218024
0.83,0.9984278631031563,0.5236229274066482
0.84,0.9991534647478534,0.45530073118173875
0.85,0.999516265570202,0.3862245641256975
0.86,0.9998790663925505,0.31799106690982837
0.87,1.0,0.2543576021077131
0.88,1.0,0.19748149812392235
0.89,1.0,0.14663063708238766
0.9,1.0,0.10617821362770175
0.91,1.0,0.07179043864468382
0.92,1.0,0.04710376672394656
0.9299999999999999,1.0,0.028975467937005006
0.94,1.0,0.016850237340059526
0.95,1.0,0.009045806953276836
0.96,1.0,0.004297309014826611
0.97,1.0,0.0017208543891089612
0.98,1.0,0.0005589324758316083
0.99,1.0,0.0001250328379411858
1.0,1.0,0.0
